

 CurrentDirectory: {0}C:\Users\Акси\Desktop\ConsoleApp1\ConsoleApp1\bin\Debug



 MachineName: {0}DESKTOP-G8S04HI



 OSVersion: {0}Microsoft Windows NT 6.2.9200.0



 SystemDirectory: {0}C:\WINDOWS\system32



 UserDomainName: {0}DESKTOP-G8S04HI



 UserInteractive: {0}True



 UserName: {0}Акси


Вікно: Генерация уникального имени файла в C# | Нюансы разработки - Opera

це звичайни тест
Вікно: приклад — Блокнот


 
все дуже просто
 
 Закриття шпигуна


 CurrentDirectory: {0}C:\Users\Акси\Desktop\ConsoleApp1\ConsoleApp1\bin\Debug



 MachineName: {0}DESKTOP-G8S04HI



 OSVersion: {0}Microsoft Windows NT 6.2.9200.0



 SystemDirectory: {0}C:\WINDOWS\system32



 UserDomainName: {0}DESKTOP-G8S04HI



 UserInteractive: {0}True



 UserName: {0}Акси


Вікно: log — Блокнот


 
привіт татататтктаокато
 
 Закриття шпигуна


 CurrentDirectory: {0}C:\Users\Акси\Desktop\ConsoleApp1\ConsoleApp1\bin\Debug



 MachineName: {0}DESKTOP-G8S04HI



 OSVersion: {0}Microsoft Windows NT 6.2.9200.0



 SystemDirectory: {0}C:\WINDOWS\system32



 UserDomainName: {0}DESKTOP-G8S04HI



 UserInteractive: {0}True



 UserName: {0}Акси


Вікно: ConsoleApp1 (выполняется) - Microsoft Visual Studio

 oem5
 
 Закриття шпигуна


 CurrentDirectory: {0}C:\Users\Акси\Desktop\ConsoleApp1\ConsoleApp1\bin\Debug



 MachineName: {0}DESKTOP-G8S04HI



 OSVersion: {0}Microsoft Windows NT 6.2.9200.0



 SystemDirectory: {0}C:\WINDOWS\system32



 UserDomainName: {0}DESKTOP-G8S04HI



 UserInteractive: {0}True



 UserName: {0}Акси



 CurrentDirectory: {0}C:\Users\Акси\Desktop\ConsoleApp1\ConsoleApp1\bin\Debug



 MachineName: {0}DESKTOP-G8S04HI



 OSVersion: {0}Microsoft Windows NT 6.2.9200.0



 SystemDirectory: {0}C:\WINDOWS\system32



 UserDomainName: {0}DESKTOP-G8S04HI



 UserInteractive: {0}True



 UserName: {0}Акси


Вікно: Генерация уникального имени файла в C# | Нюансы разработки - Opera

це тест 
Вікно: приклад — Блокнот


 
тест
 
 Закриття шпигуна


 CurrentDirectory: {0}C:\Users\Акси\Desktop\ConsoleApp1\ConsoleApp1\bin\Debug



 MachineName: {0}DESKTOP-G8S04HI



 OSVersion: {0}Microsoft Windows NT 6.2.9200.0



 SystemDirectory: {0}C:\WINDOWS\system32



 UserDomainName: {0}DESKTOP-G8S04HI



 UserInteractive: {0}True



 UserName: {0}Акси


Вікно: Генерация уникального имени файла в C# | Нюансы разработки - Opera

 <Назад>  <Назад>  <Назад>  <Назад>  <Назад>  <Назад>  <Назад>  <Назад>  <Назад> привіт
 

Вікно: привіт - Поиск в Google - Opera


 
 Закриття шпигуна
